Account,Region,PVC Namespace,PVC Name,EBS Volume ID,EBS Creation Date,Size in GB,EBS Type,IOPS (if any),Tags,Monthly cost,Yearly cost
700982990415,us-east-1,data-exporter,persistent-sending-queue-metrics-internal-collector-5,vol-07ede2f268e015fd2,2023-09-26 00:18:47.923000+00:00,1,gp2,100,"[{'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-metrics-internal-collector-5'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-19482a0a-7c0c-4e74-961c-c7b181afe794'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-19482a0a-7c0c-4e74-961c-c7b181afe794'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-19482a0a-7c0c-4e74-961c-c7b181afe794'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}]",$0.08,$0.96
700982990415,us-east-1,design-center,projects-service-pv-wc-redis-template-claim-projects-service-7,vol-01dc765f9dca0c3fb,2020-10-06 16:11:20.231000+00:00,100,io1,500,"[{'Key': 'KubernetesCluster', 'Value': 'stable5-us-east-1'}, {'Key': 'Name', 'Value': 'kubernetes-dynamic-pvc-e5235fa7-d0f1-40bb-9b12-c041b569c6ac'}, {'Key': 'kubernetes.io/cluster/stable5-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'projects-service-pv-wc-redis-template-claim-projects-service-7'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'design-center'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-e5235fa7-d0f1-40bb-9b12-c041b569c6ac'}]",$8.00,$96.00
700982990415,us-east-1,op-druid,datadir-op-druid-zk-v1-0,vol-0c6bad52bc686e9d2,2023-07-24 23:27:38.720000+00:00,10,gp2,100,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-c183453e-a541-4634-a0bb-77b436cdc4b6'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'datadir-op-druid-zk-v1-0'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-c183453e-a541-4634-a0bb-77b436cdc4b6'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-c183453e-a541-4634-a0bb-77b436cdc4b6'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}]",$0.80,$9.60
700982990415,us-east-1,data-exporter,persistent-sending-queue-traces-collector-9,vol-01f72022d22c0492b,2024-02-01 20:29:46.026000+00:00,1,gp2,100,"[{'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-da285453-459e-47cf-80ca-d02be8a8071e'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-traces-collector-9'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-da285453-459e-47cf-80ca-d02be8a8071e'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-da285453-459e-47cf-80ca-d02be8a8071e'}]",$0.08,$0.96
700982990415,us-east-1,data-exporter,persistent-sending-queue-traces-collector-3,vol-0e52fed8996397f64,2023-10-16 20:25:31.018000+00:00,1,gp2,100,"[{'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-059e529f-35aa-4bcf-b0c3-f4492a14cc07'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-traces-collector-3'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-059e529f-35aa-4bcf-b0c3-f4492a14cc07'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-059e529f-35aa-4bcf-b0c3-f4492a14cc07'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}]",$0.08,$0.96
700982990415,us-east-1,design-center,projects-service-pv-wc-redis-template-claim-projects-service-9,vol-068aeaae3ee2beca0,2020-10-06 16:15:16.459000+00:00,100,io1,500,"[{'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'projects-service-pv-wc-redis-template-claim-projects-service-9'}, {'Key': 'KubernetesCluster', 'Value': 'stable5-us-east-1'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-c5e497a3-4b5e-49c0-8cc6-875969de0209'}, {'Key': 'Name', 'Value': 'kubernetes-dynamic-pvc-c5e497a3-4b5e-49c0-8cc6-875969de0209'}, {'Key': 'kubernetes.io/cluster/stable5-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'design-center'}]",$8.00,$96.00
700982990415,us-east-1,op-druid,var-op-druid-meters-0-data-8,vol-033a1051179651eb4,2023-10-05 23:56:33.318000+00:00,1024,io1,10240,"[{'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-5ef58867-4dcc-44bd-baed-4919e74edd73'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'var-op-druid-meters-0-data-8'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-5ef58867-4dcc-44bd-baed-4919e74edd73'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-5ef58867-4dcc-44bd-baed-4919e74edd73'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}]",$81.92,$983.04
700982990415,us-east-1,op-druid,var-op-druid-meters-0-data-3,vol-071dae16ed2fe74b9,2023-10-05 23:56:32.944000+00:00,1024,io1,10240,"[{'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-f6753474-7c78-48e1-a9aa-83fa6ca7fb91'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'var-op-druid-meters-0-data-3'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-f6753474-7c78-48e1-a9aa-83fa6ca7fb91'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-f6753474-7c78-48e1-a9aa-83fa6ca7fb91'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}]",$81.92,$983.04
700982990415,us-east-1,op-druid,tmp-op-druid-meters-0-data-1,vol-0c7813a606f1594d6,2023-10-05 23:56:32.785000+00:00,100,io1,1000,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-138eae66-a9bb-41c2-8422-dfb17f9314e7'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'tmp-op-druid-meters-0-data-1'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-138eae66-a9bb-41c2-8422-dfb17f9314e7'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-138eae66-a9bb-41c2-8422-dfb17f9314e7'}]",$8.00,$96.00
700982990415,us-east-1,op-druid,var-op-druid-metric-0-data-4,vol-0ef17a06f8d3ddc15,2023-10-05 23:57:56.990000+00:00,1024,io1,10240,"[{'Key': 'CSIVolumeName', 'Value': 'pvc-2f8c9222-9524-4863-b58f-b798222d06fe'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'var-op-druid-metric-0-data-4'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-2f8c9222-9524-4863-b58f-b798222d06fe'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-2f8c9222-9524-4863-b58f-b798222d06fe'}]",$81.92,$983.04
